Series Name,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Access to electricity (% of population),Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.74726868,98.87762451,99.04978943,98.76466047,99.53858185,99.84082031,99.93136597,99.99005127,100,100,..
"Children in employment, total (% of children ages 7-14)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.500763698,..,..,..,..,..,..
"Children out of school, primary",Algeria,614621,549637,510013,539814,548351,541872,565833,592222,..,462619,426108,329083,272111,245671,207294,186567,169018,153328,98566,29031,30997,26336,24848,..,..,23175,26224,19722,14211,16430
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.15286064,..,47.30498886,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.031359673,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.031359673,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.657619953,..,25.41651917,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Algeria,..,24.87999916,24.72999954,24.55999947,24.36000061,24.12999916,23.87000084,23.54000092,23.18000031,22.85000038,22.34000015,21.70999908,21.71999931,21.71999931,20.10000038,18.54000092,17.05999947,15.63000011,14.32999992,13.02999973,11.86999989,10.77000046,10.68999958,10.59000015,10.48999977,10.38000011,10.27999973,10.15999985,9.880000114,9.600000381
Employment in industry (% of total employment) (modeled ILO estimate),Algeria,..,25.39999962,25.26000023,25.03000069,24.81999969,24.81999969,24.78000069,24.70000076,24.77000046,24.67000008,24.89999962,25.01000023,24.79999924,24.69000053,25.63999939,26.76000023,27.52000046,28.37999916,28.88999939,29.56999969,30.20000076,30.86000061,30.80999947,30.95999908,30.95999908,30.92000008,30.95000076,30.98999977,30.90999985,30.42000008
Employment in services (% of total employment) (modeled ILO estimate),Algeria,..,49.72999954,50.00999832,50.41999817,50.81000137,51.04999924,51.34999847,51.75999832,52.04999924,52.47000122,52.75999832,53.27999878,53.47999954,53.59000015,54.25999832,54.70000076,55.41999817,55.99000168,56.79000092,57.40000153,57.93000031,58.36999893,58.49000168,58.45000076,58.56000137,58.70000076,58.77999878,58.84999847,59.22000122,59.99000168
GDP growth (annual %),Algeria,0.80000058,-1.200000586,1.800002303,-2.100000758,-0.8999965521,3.79999479,4.09999847,1.099999939,5.10000361,3.200001552,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.3,1.2,..
"Literacy rate, adult total (% of people ages 15 and above)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,69.87349701,..,..,..,72.64868164,..,75.13604736,..,..,..,..,..,..,..,..,..,81.40783691,..
"Literacy rate, youth total (% of people ages 15-24)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,90.13720703,..,..,..,91.7796402,..,93.76732635,..,..,..,..,..,..,..,..,..,97.4265213,..
"Lower secondary completion rate, total (% of relevant age group)",Algeria,58.15291977,55.19691086,57.20238113,56.72095108,57.02869034,57.46929932,57.24636078,52.61265945,..,55.26757813,51.83131027,54.77035904,60.68283081,61.44483185,62.33200073,72.53127289,66.10224915,60.45256042,55.27941132,62.19200134,58.27983856,70.4348526,114.6342316,85.26335144,79.29411316,76.15144348,79.13480377,..,84.64131165,82.92144775
"Over-age students, primary (% of enrollment)",Algeria,6.11323,5.93736,6.24687,6.71555,7.13496,7.16921,8.54234,9.78321,..,11.15864,12.46409,12.24385,11.84074,11.95159,12.06763,12.23451,12.62192,11.64692,10.27519,10.83598,10.78314,9.26718,8.32556,8.02078,7.16842,6.73233,6.7546,6.87842,6.56563,..
"Share of youth not in education, employment or training, total (% of youth population)",Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.45000076,24.53000069,26,22.70000076,21.5,22.79999924,21.20000076,..,20.95000076,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Algeria,..,16.60000038,20.63999939,22.67000008,25.17000008,30.55999947,28.55999947,26.17000008,27.77000046,28.73999977,29.71999931,27.69000053,27.09000015,25.44000053,18.20999908,18.04000092,16,20.07999992,18.29000092,18.09000015,19.09000015,17.12999916,17.01000023,16.27000046,15.64000034,16.59000015,18.31999969,20.62000084,20.48999977,20.44000053
"Unemployment, female (% of female labor force) (national estimate)",Algeria,20.70999908,17,..,..,..,..,..,26.17000008,..,..,29.71999931,..,..,25.44000053,18.19000053,..,..,..,..,18.10000038,19.10000038,..,16.98999977,16.29999924,15.57999992,16.56999969,18.25,26.22999954,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Algeria,..,21.19000053,24.94000053,26.76000023,28.12000084,32.02999878,28.55999947,25.31999969,26.68000031,28.30999947,29.78000069,27.23999977,25.70999908,23.43000031,17.55999947,14.77999973,11.59000015,12.60999966,9.979999542,8.56000042,8.109999657,8.399999619,9.569999695,8.289999962,8.989999771,9.93999958,8.210000038,9.789999962,9.720000267,9.670000076
"Unemployment, male (% of male labor force) (national estimate)",Algeria,21.29999924,21.70000076,..,..,..,..,..,25.31999969,..,..,29.78000069,..,..,23.43000031,17.54000092,..,..,..,..,8.569999695,8.109999657,..,9.56000042,8.300000191,8.960000038,9.920000076,8.180000305,10.77000046,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Algeria,..,20.60000038,24.37999916,26.22999954,27.73999977,31.84000015,28.55999947,25.43000031,26.82999992,28.37000084,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.21000004,11.21000004,10.19999981,12,11.89000034,11.81000042
